"VM","PowerState","Template","Disk","CapacityMB","Raw","DiskMode","Path","Host","vCenter"
"intersight-assist","poweredOn","False","Hard disk 3","51200","False","persistent","[FlashStack-Misc] intersight-assist/intersight-assist_2.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"intersight-assist","poweredOn","False","Hard disk 4","153600","False","persistent","[FlashStack-Misc] intersight-assist/intersight-assist_3.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"intersight-assist","poweredOn","False","Hard disk 5","102400","False","persistent","[FlashStack-Misc] intersight-assist/intersight-assist_4.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"intersight-assist","poweredOn","False","Hard disk 6","30720","False","persistent","[FlashStack-Misc] intersight-assist/intersight-assist_5.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"intersight-assist","poweredOn","False","Hard disk 7","61440","False","persistent","[FlashStack-Misc] intersight-assist/intersight-assist_6.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"intersight-assist","poweredOn","False","Hard disk 8","61440","False","persistent","[FlashStack-Misc] intersight-assist/intersight-assist_7.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"old_intersight-appliance","poweredOff","False","Hard disk 1","25600","False","persistent","[SmartConfig-Veeam] old_intersight-appliance/old_intersight-appliance.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"old_intersight-appliance","poweredOff","False","Hard disk 2","25600","False","persistent","[SmartConfig-Veeam] old_intersight-appliance/old_intersight-appliance_1.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"old_intersight-appliance","poweredOff","False","Hard disk 3","51200","False","persistent","[SmartConfig-Veeam] old_intersight-appliance/old_intersight-appliance_2.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"old_intersight-appliance","poweredOff","False","Hard disk 4","153600","False","persistent","[SmartConfig-Veeam] old_intersight-appliance/old_intersight-appliance_3.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"old_intersight-appliance","poweredOff","False","Hard disk 5","102400","False","persistent","[SmartConfig-Veeam] old_intersight-appliance/old_intersight-appliance_4.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"old_intersight-appliance","poweredOff","False","Hard disk 6","30720","False","persistent","[SmartConfig-Veeam] old_intersight-appliance/old_intersight-appliance_5.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"old_intersight-appliance","poweredOff","False","Hard disk 7","61440","False","persistent","[SmartConfig-Veeam] old_intersight-appliance/old_intersight-appliance_6.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"old_intersight-appliance","poweredOff","False","Hard disk 8","61440","False","persistent","[SmartConfig-Veeam] old_intersight-appliance/old_intersight-appliance_7.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"record-jump","poweredOn","False","Hard disk 1","163840","False","persistent","[FlashStack-Misc] record-jump/record-jump.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"record-jump","poweredOn","False","Hard disk 2","409600","False","persistent","[FlashStack-Misc] record-jump/record-jump_1.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"ubuntu-transfer-01","poweredOn","False","Hard disk 1","61440","False","persistent","[dx-esxi-ds-temp] ubuntu-transfer-01/ubuntu-transfer-01.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"ubuntu-transfer-02","poweredOn","False","Hard disk 1","61440","False","persistent","[dx-esxi-ds-temp] ubuntu-transfer-02/ubuntu-transfer-02.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"ubuntu-transfer-03","poweredOn","False","Hard disk 1","61440","False","persistent","[dx-esxi-ds-temp] ubuntu-transfer-03/ubuntu-transfer-03.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"ubuntu-transfer-big","poweredOn","False","Hard disk 1","122880","False","persistent","[dx-esxi-ds-temp] ubuntu-transfer-big/ubuntu-transfer-big.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"VBRReady","poweredOff","False","Hard disk 1","204800","False","persistent","[FlashStack-Misc] VBRReady/VBRReady.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
